clause_text,label
"Consequently either this Agreement or any of the respective rights or obligations of the Parties hereunder may be assigned or otherwise transferred, in whole or in part, in any form whatsoever (including by way of change of Control), by either Party subject to the prior written consent of the other Party, which consent shall not be unreasonably withheld or delayed, and any attempt to do so without such consent shall be null and void.",anti-assignment
"The following events shall constitute a default by Developer, which shall result in El Pollo Loco's right to declare the immediate termination of this Agreement.",anti-assignment
"This Agreement is not assignable or transferable by either Party, in whole or in part, without the prior written consent of the other Party; provided, however that Premier may assign this Agreement in the event that Premier is sold, merged into or with another entity, or undergoes a ""change in control"".",anti-assignment
"Except with Smith's prior written approval, this Agreement may not be assigned by TDA: (i) in connection with a merger, a sale of all or substantially all of the assets of TDA or other similar corporate reorganization, or the sale of substantially all of TDA's rights to all of its Golf Instruction Related Products; or (ii) to",anti-assignment
We may immediately terminate this Agreement on notice to you and without any opportunity to cure the default if:,anti-assignment
Any unauthorized assignment of this Agreement is void.,anti-assignment
[ * ] may [ * ]any of its rights or obligations under this Agreement without the prior written consent of [ * ].,anti-assignment
"Neither Party may assign any right, or delegate any duty under this Agreement, in whole or in part, without the prior written consent of the other Party, which shall not be unreasonably withheld or delayed.",anti-assignment
"Neither Party may assign or transfer this Agreement or any rights or obligations hereunder without the prior written consent of the other Party, except that a Party may make such an assignment or transfer without the other Party's written consent to (a) any of its Affiliates, in whole or in part, or (b) any Third Party in connection with (i) the acquisition of such Party by or merger or consolidation of such Party with another entity or (ii) a merger, consolidation, sale of stock, sale of all or substantially all of such Party's assets or other similar transaction in which such Third Party either becomes the owner of all or substantially all of the business and assets of (y) such Party or (z) that portion of such Party's business or business unit relating to this Agreement.",anti-assignment
"Except as otherwise provided herein, this Contract may not be assigned in whole or in part by any Party without the prior written consent of the other Party and the approval of the Examination and Approval Authority.",anti-assignment
"Datec must not assign this agreement or any right under this agreement unless Datec

  (a) is not in breach of this agreement;

  (b) obtains the prior written consent of the BSP

  (c) ensures that the assignee agrees to be bound by all of the Datec's obligations under this agreement; and

  (d) acknowledges that it remains bound by this agreement",anti-assignment
"Neither Party shall be entitled to cede, or delegate its rights and obligations arising   from this AGREEMENT or to assign this AGREEMENT to any other person or   entity without the prior written consent of the other party provided that either party   shall be entitled to assign this AGREEMENT, in whole and not part only, to any of   its' subsidiary or holding companies (as defined and contemplated in the   Companies Act of 1973, as amended) provided that any such assignment shall   ipso facto cease to be of any further force and effect as between the parties,   should the assignee cease, for whatever reason, to be a subsidiary or holding   company, of the assignor.",anti-assignment
"This Agreement and the rights and obligations specified herein shall be binding upon the Parties and their respective legal successors and neither Party shall sell, transfer or assign this Agreement or any part, interest, right or obligation hereunder except that a Party shall have the right to transfer or assign this Agreement in whole (but not in part) to an Affiliated Company provided that:",anti-assignment
On either party assigning or attempting to assign this agreement without the prior written consent of the other party.,anti-assignment
Distributor shall not assign this Agreement or any rights or obligations hereunder without the prior written consent of the Company.,anti-assignment
The rights and obligations under this maintenance and support contract may       not be assigned in whole or in part by either party without the prior       written consent by the other party.,anti-assignment
"This Agreement and any rights or authority granted hereunder shall not be assigned or transferred by either Party, including by  operation of law, merger or otherwise, without the express written consent of the other Party, provided that Licensor may assign this Agreement  without consent to any of its Affiliates and Licensee may assign this Agreement without consent to SINA Leju or an Affiliate of Licensee that is  controlled by SINA Leju.",anti-assignment
"The interests of MORPHO in this Agreement are personal and shall not be      assigned, transferred, shared or divided in any manner by MORPHO without a      prior written consent of XIMAGE.",anti-assignment
"Any other assignment          by the parties, requires the prior written consent of the other Party.",anti-assignment
"Licensee may not assign, transfer, pledge, mortgage or otherwise encumber this Agreement or its right to use the Brand (or assume this Agreement in bankruptcy), in whole or in part, without the prior written consent of Licensor in its sole discretion, except for an assignment outside of bankruptcy to a successor organization that is solely the result of a name change by Licensee.",anti-assignment
Any Transfer  without such approval shall constitute a breach of this Agreement  and shall be void and of no  effect.,anti-assignment
"This Agreement may not be assigned by either party without the express written consent of the other party, which approval will not be unreasonably withheld or delayed, except that either party may (without consent but with notice to the other party) assign this Agreement in its entirety to any successor in the event of a Change of Control of such party.",anti-assignment
"The Parties shall not assign, encumber or otherwise transfer this Agreement or any part of it to any Third Party, without the prior written consent of the other Party.",anti-assignment
"Without prior written consent of the other Parties, none of the Parties may assign any or all of its rights and obligations under this Agreement to any third party.",anti-assignment
This Agreement  shall not be assignable by either party unless the assignee expressly assumes in writing the obligations of the assignor hereunder.,anti-assignment
"Notwithstanding the foregoing, attached as Attachment C is a list of companies (the ""Competitors"") to whom assignment of this Agreement outside of an Acquisition may be made only with prior written consent of the other party, which the other party may withhold at its sole discretion.",anti-assignment
Reseller may nat assign or otherwise transfer this Agreement without      MediaNet Group Technologies's prior written consent except to a successor.,anti-assignment
"This Agreement shall not be assigned, in whole or in part, by either party without the prior consent of the other party, but shall be binding upon and shall inure to the benefit of the legal successors of the respective parties hereto; except that Seller may assign this Agreement, in whole or in part, to any affiliate.",anti-assignment
"The rights granted Company hereunder shall be used only by it and shall not, without the prior written consent of Pey Dirt, be transferred or assigned to any other.",anti-assignment
Any assignment not in accordance with this Section 11.1 shall be void.,anti-assignment
"Neither party may assign this Agreement, in whole                   or in part, without the other party's written consent (which                   will not be unreasonably withheld), except that no such                   consent will be required in connection with (i) a merger,                   reorganization or sale of all, or substantially all, of such                   party's assets or (ii) the assignment and/or delegation of                   such party's rights and responsibilities hereunder to a                   wholly-owned subsidiary or joint venture in which that party                   holds an interest.",anti-assignment
"Except as otherwise set forth herein, neither party shall transfer, assign or cede any rights or delegate any obligations hereunder, in whole or in part, whether voluntarily or by operation of law, without the prior written consent of the other party, which consent may be withheld at the other party's reasonable business discretion; provided, however, that either party may transfer this Agreement without prior written consent of the other to an Affiliate of such party, or to the surviving party in a merger or consolidation, or to a purchaser of all or substantially all of its assets.",anti-assignment
"Neither this Agreement nor any interest herein may be assigned, in whole or in part, by either party without the prior written consent of the other, which consent shall not be unreasonably withheld or delayed, except that either party may assign its rights and obligations under this Agreement: (a) to an affiliate, division or subsidiary of such party; and/or (b) to any third party that acquires all or substantially all of the stock or assets of such party, whether by asset sale, stock sale, merger or otherwise, and, in any such event such assignee shall assume the transferring party's obligations hereunder.",anti-assignment
"Neither Party may assign its rights under this Agreement without prior written consent from the other Party, which consent shall not be unreasonably withheld; provided, however, that either Party may assign its rights under this Agreement to a successor in interest resulting from any merger, reorganization, consolidation or as part of a sale of all or substantially all of its assets.",anti-assignment
Any purported assignment of rights in violation of this subsection is void.,anti-assignment
"all research and development assets and operations of the Acquired Party Family, in each case relating to SHP2 Inhibitors and Products, remain with the Acquired Party Family and are not licensed or otherwise transferred to the Acquiror Party Family for any purpose; (C) the scientific and Development activities with respect to SHP2 Inhibitors and Products of the Acquired Party Family and Competing Products of the Acquiror Family (if any) are maintained separate and distinct, and (D) there is no exchange of Know-How relating to SHP2 Inhibitors and Products between the Acquired Party Family and the Acquiror Family. Any attempted assignment not in accordance with this Section 15.2 shall be null and void and of no legal effect.",anti-assignment
"Neither party may assign this Agreement or subcontract its obligations under this Agreement to another party without the other party's prior, written consent executed by a duly authorized officer.",anti-assignment
"In the event either Party desires to make such an assignment or other transfer of this Agreement or any rights or obligations hereunder, such Party shall deliver a written notice to the other Party requesting the other Party's written consent in accordance with this Section 13.2, and the other Party shall provide such Party written notice of its determination whether to provide such written consent within [***] following its receipt of such written notice from such Party.",anti-assignment
HealthGate shall not transfer or assign the whole or any part of             this Agreement without the prior written consent of the Publishers.,anti-assignment
"This Agreement is binding upon each party's assigns, transferees and successors; provided that no party may assign or otherwise transfer, by operation of law or otherwise, this Agreement in whole or in part, without the other party's prior written consent.",anti-assignment
"Distributor may not assign or delegate its rights or obligations under this Agreement (other than (i) the right to receive any amount due, which shall be freely assignable, or (ii) to Distributor's parent or majority-owned subsidiary company of sufficient net worth to meet any potential liability under this Agreement) without the prior written consent of Cisco, such consent not to be unreasonably withheld or delayed, provided that any such assignment shall not relieve Distributor of any obligation to pay monies that were owed Cisco prior to the date of the assignment.",anti-assignment
The Parties may not assign this Agreement or the rights and obligations hereunder to any third party without the prior express written approval of the other Party.,anti-assignment
The rights and obligations of the Remarketing Agent hereunder may not be assigned or delegated to any other person without the prior written consent of the Fund.,anti-assignment
"Except for the performance of the Merchant Processing Services, the Company will not subcontract any of its obligations under this Agreement to a third party, including the provision of any Services, without Allscripts' prior written consent.",anti-assignment
Any attempt to assign this Agreement other                   than as permitted above will be null and void.,anti-assignment
"Except as otherwise provided in this Section 17.5, neither Party shall assign this Agreement or any rights, benefits or obligations under or relating to this Agreement, in each case whether by operation of law or otherwise, without the other Party's prior written consent (not to be unreasonably withheld, conditioned or delayed).",anti-assignment
Any attempted assignment in violation of this Section shall be null and void.,anti-assignment
Any assignment not in accordance with this Section 14.3 will be null and void.,anti-assignment
"This Agreement, or the rights granted under it, may not be assigned transferred or sublicense by either party without the express prior written consent of the other party.",anti-assignment
"The rights and obligations created by this Agreement may not be assigned by Company, in whole or in part, without first obtaining BP's written consent under this Agreement, such consent not to be unreasonably withheld.",anti-assignment
"controlled by, under common control with, or controls a party.",anti-assignment
"No right or interest in this Agreement shall be assigned by                   Schoolpop without prior written permission of AEIS, which                   shall not be unreasonably withheld.",anti-assignment
"If BKC does not exercise its option under Subparagraph 15.4.1,  Franchisee may conclude the sale to the purchaser who made the offer  provided BKC's consent to the assignment or sale be first obtained as provided below.",anti-assignment
In no event shall Green Cross grant any sublicense to any of the rights granted to it pursuant to Section 10.1(a) for any other purpose without MacroGenics' prior written consent.,anti-assignment
Any   assignment not in accordance with this Section 10.2 shall be void.,anti-assignment
"Unless as provided herein, neither Party may assign, delegate, assign, nor subcontract their obligations and duties hereunder without the prior written consent of the non-assigning Party.",anti-assignment
Any assignment of the rights and obligations under this Agreement by Company without the consent of BP shall be voidable by BP.,anti-assignment
"which consent may be withheld at the other Party's reasonable business discretion; provided, however, that VerticalNet may transfer this Agreement without the prior written consent of LeadersOnline to an Affiliate of VerticalNet, or to the surviving Party in a merger or consolidation, or to a purchaser of all or substantially all of its assets.",anti-assignment
"Except as part of a transaction permitted under this Section 15.2, in no event shall RevMed assign or transfer, or agree to assign or transfer to any Third Party, any or all of the RevMed Licensed Patents without the consent of Sanofi, not be unreasonably withheld or conditioned.",anti-assignment
Any attempt to assign this             Agreement other than as permitted above will be null and void.,anti-assignment
"Any assignment or transfer, or attempted assignment or transfer, by either Party in violation of the terms of this Section 15.6 shall be null and void and of no legal effect.",anti-assignment
"This Agreement may not be assigned, delegated, or otherwise transferred, in whole or in part, by operation of law or otherwise, by a Party without the other Party's express prior written consent.",anti-assignment
If you have transferred your Interests in violation of this Agreement you shall be considered in breach of this Agreement.,anti-assignment
"Service Provider shall not, without the prior written consent of Owner, which consent will not be unreasonably withheld or delayed, assign,  pledge or transfer all or any part of, or any right or obligation under, this Agreement, whether voluntarily or by operation of law, and any such  assignment or transfer without such consent will be null and void; provided, however, that notwithstanding the foregoing, Service Provider may,  without the consent of Owner, assign,",anti-assignment
"in, or the assets of, any member of the SpinCo Group in a single transaction or a series of related transactions to one or more third parties, (y) any direct or indirect acquisition, consolidation or merger of any member of the SpinCo Group by, with or into any third party or (z) any spin-off, public offering or other corporate reorganization or single transaction or series of related transactions in which direct or indirect control of any member of the SpinCo Group is transferred to one or more third parties, including by transferring an excess of fifty percent (50%) of such member of the SpinCo Group's voting power, shares or equity, through a merger, consolidation, tender offer or similar transaction to one or more third parties",anti-assignment
"Neither Party may assign or transfer this Supply Agreement, including by merger, operation of law, or otherwise, without the other Party's prior written consent (which shall not be withheld unreasonably) except each Party may assign this Supply Agreement without the other Party's consent in the case of assignment or transfer to a Third Party that succeeds to all or substantially all of the assigning Party's business and assets relating to the subject matter of this Supply Agreement, whether by sale, merger, operation of law or otherwise. Any attempted assignment by a Party in violation of this Section without the written consent of the other Party will be null and void.",anti-assignment
"Any sale,           transfer or other conveyance of all or any part of the stock in, or           assets of, Licensor in violation of this Section shall be null and           void.",anti-assignment
"Notwithstanding anything to the contrary in this Agreement, neither Party may assign this Agreement in whole or in part to a Restricted Party.",anti-assignment
"Neither party may assign this Agreement, in whole or in         part, without the other party's written consent (which will not be         unreasonably withheld), except that no such consent will be required in         connection with a merger, reorganization or sale of all, or         substantially all, of such party's assets or capital stock.",anti-assignment
"Each Party's rights under this Agreement are                ----------------                                               personal to that Party and that Party shall not assign, sublet or otherwise transfer any right or interest under this Agreement to anyone, without the prior written consent of the other Party, which shall not be unreasonably withheld.",anti-assignment
Neither party may,anti-assignment
"For the avoidance of doubt, in no event shall this Agreement be transferred, delegated, or assigned by a party (by operation of law, Change of Control, or otherwise) to a third party unless the applicable portions of the License Agreement are also transferred to such third party.",anti-assignment
"Without affecting any other rights that it may be entitled to, the Supplier may give notice in writing to the Distributor terminating this agreement immediately if the Distributor purports to assign its rights or obligations under this agreement to an entity that is not (1) affiliated with, (2) related to, or (3) sharing common ownership with the Distributor (a Permitted Assignee).",anti-assignment
"Any purported assignment or transfer not having our prior written consent as required by this Section 16 will be null and void and will also constitute a material breach of this Agreement, for which we may immediately terminate this Agreement without opportunity to cure, pursuant to Section 17.2.5 below.",anti-assignment
"This Agreement shall not be assignable by either Party, except with the written





consent of the other Party hereto; provided, however, that either Party may assign this Agreement without the other Party's consent to an acquiring party in connection with the transfer or sale of all or substantially all of the business of such Party to which this Agreement relates to such acquiring party, whether by merger, sale of stock, sale of assets or otherwise, provided that in the event of such a sale or transfer (whether this Agreement is actually assigned or is assumed by the acquiring party by operation of law (e.g,. in the context of a reverse triangular merger)).",anti-assignment
"Notwithstanding anything in this Agreement to the contrary, the Agent may not transfer or assign any rights, interests or obligations (i) under this Agreement to any Restricted Party or (ii) that are provided pursuant to Sections 10.5(d) or 10.6 of this Agreement.",anti-assignment
"Company may not assign or transfer its rights or obligations under this Agreement, whether by operation of law, contract or otherwise, without the prior written consent of Reed's, which shall not be unreasonably withheld (it being understood that a purported assignment to a Reed's competitor identified or referred to in Exhibit D of the Manufacturing and Distribution Agreement shall be considered to be a reasonable basis for withholding consent).",anti-assignment
"Notwithstanding the foregoing, either party may assign this Agreement without the other party's prior written consent in the event of a merger, acquisition, reorganization, change in control, or sale of substantially all of the assets or business of such assigning part",anti-assignment
Neither this Agreement nor any of the rights or obligations contained herein may be assigned or transferred by either Party without the prior written consent of the other Party.,anti-assignment
"Neither this Agreement nor any rights or obligations hereunder shall be transferred or assigned by either Party without the written consent of the other Party, which consent shall not be unreasonably withheld; provided, however, that Liquidmetal shall have the right, without the prior written consent of Eutectix, to assign its warranty rights and other rights hereunder with respect to specific Liquidmetal Products to the Customers of such Liquidmetal Products.",anti-assignment
"Neither Party may assign this Agreement to a Third Party unless both Parties have agreed to such assignment in a writing signed by an authorized representative of each Party hereto; provided, however, that upon providing written notice, (i) either Party may, without the other Party's consent, assign this Agreement to an Affiliate or to any Third Party entity that acquires all or substantially all of its assets to which this Agreement relates and (ii) Achaogen may, without Microgenics' consent, assign this Agreement (in whole or in part) to a Third Party licensee of Achaogen's rights with respect to Plazomicin.",anti-assignment
This Agreement will also terminate automatically in the event of its assignment (as defined in the 1940 Act).,anti-assignment
"(g) we must approve the material terms and conditions of the proposed Transfer, including without limitation that the price and terms of payment are not so burdensome as to adversely affect the operation of the Franchise;   (h) the Franchise and the Premises shall have been placed in an attractive, neat and sanitary condition;   (i) you and your Principal Owners must enter into an agreement with us providing that all obligations of the Proposed New Owner to make installment payments of the purchase price (and any interest on it) to you or your Principal Owners will be subordinate to the obligations of the Proposed New Owner to pay any amounts payable under this Agreement or any new Franchise Agreement that we may require the Proposed New Owner to sign in connection with the Transfer;   (j) you and your Principal Owners must enter into a non-competition agreement wherein you agree not to engage in a competitive business for a period of two (2) years after the Transfer and within twenty-five (25) miles of your Franchise Premises or any other The Joint Corp. Location franchise location;   (k) the Franchise shall have been determined by us to contain all equipment and fixtures in good working condition, as were required at the initial opening of the Franchise. The Proposed New Owner shall have agreed, in writing, to make such reasonable capital expenditures to remodel, equip, modernize and redecorate the interior and exterior of the premises in accordance with our then existing plans and specifications for a The Joint Corp. Location franchise, and shall have agreed to pay our expenses for plan preparation or review, and site inspection;   (l)  upon receiving our consent for the Transfer or sale of the Franchise, the Proposed New Owner shall agree to assume all of your obligations under this Agreement in a form acceptable to us, or, at our option, shall agree to execute a new Franchise Agreement with us in the form then being used by us. We may, at our option, require that you guarantee the performance, and obligations of the Proposed New Owner; and   (m) you must have properly offered us the opportunity to exercise our right of first refusal as described below, and we must have then declined to exercise it.",anti-assignment
"Customer shall not assign this Agreement, in whole or in part, to any other person without the prior written consent of Supplier, not to be unreasonably withheld, conditioned or delayed.",anti-assignment
"Neither party may assign this Agreement, in whole or in part, without the other party's written consent (which will not be unreasonably delayed or withheld), except that no such consent will be required in connection with an assignment or transfer of this Agreement to (a) a party's successor in connection with a Change in Control of such party, provided that such successor is not a competitor of the other party, or (b) to any entity that is",anti-assignment
Neither this Agreement nor the rights of either Party hereunder shall be assigned by either Party without the prior written consent of the other Party.,anti-assignment
"BSP may:

  (a) assign all or part of this agreement to any person as part of a restructure; and

  (b) assign or novate all or part of the rights and obligations under this agreement to any of the BSP's Related Company's as part of a re- organisation of its business.",anti-assignment
Any assignment of this Agreement in contravention of this Section 18.9 shall be null and void.,anti-assignment
"This IP Agreement will be binding upon and inure to the benefit of the Parties hereto and their respective successors and  permitted assigns, but will not be assignable or delegable by any Party without the prior written consent of the other Party.",anti-assignment
Any assignment not in accordance with this Section 13.2 (Assignment) shall be void.,anti-assignment
"Notwithstanding anything in this Agreement to the contrary, Licensee has no right to sublicense any rights granted hereunder to any third  party, or otherwise permit any third party to use any Licensed Domain Names or Licensed Content; provided, however, that any rights granted to  Licensee hereunder shall be sublicensable, without the prior written consent of Licensor, to SINA Leju and Licensee's Affiliates that are controlled  by SINA Leju solely for the purpose of operating the Business during the Term.",anti-assignment
The license granted hereunder is specific to the USA MCO and may not be assigned by any act of the USA MCO or by operation of law unless with the written consent of IMedicor.,anti-assignment
"The rights and obligations of Forty Niners SC under this Agreement may be assigned by Forty Niners SC without the consent of Sponsor so long as the assignment shall be the assignment of Team's rights and obligations hereunder (i) as collateral security for financing arrangements, (ii) to any Affiliate or successor entity, or (iii) to any purchaser of Team's interest in its NFL franchise.",anti-assignment
"This Agreement may not be waived, amended or assigned without an agreed written and signed document, signed by both Parties.",anti-assignment
"delegate any or all of its obligations under this Agreement without the express prior written consent of the other Parties, except as follows",anti-assignment
"This Agreement shall not be assigned by either party hereto, without the prior written consent of the other party hereto.",anti-assignment
"Any assignment, delegation or transfer for which consent is required hereby and which is made without such consent given in writing will be void.",anti-assignment
"Either Party may, without consent of the other Party, assign this Agreement in whole to (i) in the case of RevMed, its successor in interest or assignee or purchaser, as applicable, in the case of a Change of Control or (ii) in the case of Sanofi, its successor in interest or assignee or purchaser, as applicable, in connection with the sale of all or substantially all of its assets to which this Agreement relates, or in connection with a merger, acquisition or similar transaction.",anti-assignment
MSL may not assign this Agreement without IBM's prior written consent. Any       attempted assignment without such consent is void.,anti-assignment
"Except as otherwise provided in this Agreement, including under Section 7.1, neither this Agreement nor any of the rights, interests or obligations of any Party under this Agreement shall be assigned, in whole or in part, by operation of law or otherwise, by either Party without the prior written consent of the other Party; provided, however, that (a) either Party may assign any of the foregoing in connection with the sale or other transfer of the applicable business or assets of such Party or its Affiliates to which this Agreement relates (except that neither of the Buyer Entities may assign any such rights, interests or obligations with respect to the Arizona Licensed Trademarks); (b) Arizona may assign any of the foregoing to one or more of its Affiliates and (c) the Company and Buyer may assign any of the foregoing to one or more of its Subsidiaries, controlled Affiliates, AWP, or any holding company that is a direct or indirect parent of the Company; provided that in each case (b) and (c), no assignment shall relieve the assigning Party of any of its obligations under this Agreement unless agreed to by the non-assigning Party. Any assignment or other disposition in violation of the preceding sentence shall be void.",anti-assignment
"Neither Party may assign this Agreement or any of its rights or obligations hereunder, except as expressly permitted hereunder, or delegate any of its obligations under this Agreement, whether by operation of law or otherwise, in whole or in part, without the consent of the other Party, except as follows:

(i) Sanofi may, without consent of RevMed, assign this Agreement or its rights and obligations hereunder in whole or in part to any Affiliate of Sanofi, and RevMed may, with the consent of Sanofi (not to be unreasonably withheld, delayed or conditioned), assign this Agreement or its rights and obligations hereunder in whole or in part to any Affiliate of RevMed;",anti-assignment
"Except as herein expressly provided, the respective rights and obligations of the Consultant and the Company under this Agreement will not be assignable by either party without the written consent of the other party and will, subject to the foregoing, inure to the benefit of and be binding upon the Consultant and the Company and their permitted successors or assigns.",anti-assignment
"Any attempted assignment or delegation without such prior written consent, except as expressly set forth herein, will be void, or at the non-assigning Party's sole discretion, may be treated as fully binding upon and in force and effect against any such successor or assign.",anti-assignment
"Licensee shall have the right to assign or sublicense any or all of its rights granted under this Agreement, in whole or in part, to third parties exhibiting the Titles in the ordinary course of Licensee's business with prior written notice to Licensor. E",anti-assignment
This Agreement may not be assigned in whole or in part by                   either party without prior written consent of the other.,anti-assignment
"This  Agreement  is binding  upon and enures to the  benefit of the  parties and their  respective  successors and assigns,  and no party shall have the right to assign its rights  hereunder or any interest  herein  without the prior  written consent of the other parties.",anti-assignment
Licensed Users may not assign this Agreement and/or any rights and/or obligations hereunder without the prior written consent of Licensor and any such attempted assignment shall be void.,anti-assignment
"This Agreement is not assignable by either party hereto without the prior written consent of the other, except that this Agreement shall be assignable by Developer to an affiliated entity or upon the sale of the fight to license and sublicense the Products to the purchaser of said right.",anti-assignment
"Neither of the parties hereto may assign its or his rights hereunder without the prior written consent of the other party hereto, and any such attempted assignment without such consent shall be null and void and without effect.",anti-assignment
